GLOBALEVENTID,EventCode,GoldsteinScale,NumMentions,AvgTone,QuadClass,Actor1Geo_CountryCode
677131651,110,-2.0,3,-4.87329434697856,3,
677131652,110,-2.0,2,-4.87329434697856,3,
677131655,110,-2.0,4,-4.87329434697856,3,MY
677133161,036,4.0,10,-1.92461908580594,1,
677134779,071,7.4,7,0.464037122969834,2,LH
677136974,014,0.0,1,2.97872340425532,1,
677136984,014,0.0,1,2.97872340425532,1,CU
677136990,011,-0.1,3,0.13297872340425,1,LG
677136992,120,-4.0,3,0.13297872340425,3,LG
677136989,011,-0.1,2,0.13297872340425,1,LG
677136991,120,-4.0,2,0.13297872340425,3,LG
677138615,010,0.0,10,-3.19767441860465,1,JM
677138616,060,6.0,6,-3.19767441860465,2,JM
677138617,060,6.0,6,-3.19767441860465,2,JM
677138621,112,-2.0,5,-0.54844606946984,3,MY
677140372,017,0.0,7,3.2258064516129,1,BE
677140374,042,1.9,8,3.2258064516129,1,BE
677140376,043,2.8,8,3.2258064516129,1,SZ
677140370,017,0.0,1,3.2258064516129,1,IT
677140373,042,1.9,2,3.2258064516129,1,IT
677141331,020,3.0,1,-7.54716981132076,1,VT
677141342,015,0.0,2,-7.54716981132076,1,VT
677141344,1821,-9.0,2,-7.54716981132076,4,VT
677141330,020,3.0,1,-7.54716981132076,1,AS
677141333,043,2.8,5,3.83795309168443,1,IN
677141334,181,-9.0,7,3.83795309168443,4,IN
677143328,046,7.0,4,-2.11382113821138,1,CH
677145257,090,-2.0,8,-1.99004975124378,2,MT
677145256,042,1.9,6,-1.99004975124378,1,MT
677145255,043,2.8,6,-1.99004975124378,1,BF
677145258,090,-2.0,2,-1.99004975124378,2,MT
677145259,042,1.9,5,1.58730158730159,1,VM
677145269,043,2.8,5,1.58730158730159,1,VM
677147624,010,0.0,2,-8.71559633027527,1,NC
677150862,194,-10.0,10,1.88501413760603,4,
677154053,190,-10.0,2,-2.13928794503436,4,CU
677156191,110,-2.0,2,-5.57692307692308,3,
677157108,130,-4.4,1,-2.64900662251656,3,RS
677158171,036,4.0,10,2.44131455399061,1,MI
677159216,080,5.0,20,-3.30276341305753,2,LH
677162532,016,-2.0,4,0.0,1,AG
677162533,016,-2.0,6,0.0,1,AG
677163774,050,3.5,4,-3.38809034907597,1,AR
677167293,110,-2.0,10,-7.28476821192053,3,
677168215,013,0.4,10,-5.47770700636943,1,
677171554,173,-5.0,16,-8.45921450151053,4,
677171566,051,3.4,10,6.02836879432624,1,VM
677173648,043,2.8,10,-1.00755667506297,1,NZ
677173662,042,1.9,10,-1.00755667506297,1,NZ
677173661,043,2.8,6,0.37664783427495,1,NI
677173657,051,3.4,8,-6.12745098039215,1,SA
677173658,051,3.4,2,-6.12745098039215,1,SA
677173650,022,3.2,10,-6.12745098039215,1,SU
677175890,112,-2.0,8,-2.29132569558101,3,US
