"Extracted from the UNHCR Population Statistics Reference Database","United Nations High Commissioner for Refugees"
"Date extracted: 2019-10-20 20:03:25 +02:00"

Year,"Country / territory of asylum/residence",Origin,"RSD procedure type / level","Applied during year"
2016,Netherlands,Azerbaijan,"G / FI",67
2016,Netherlands,Azerbaijan,"G / RA",13
2016,Norway,Azerbaijan,"G / AR",30
2016,Norway,Azerbaijan,"G / RA",1
2016,Norway,Azerbaijan,"G / FI",17
2016,Poland,Azerbaijan,"G / FI",21
2016,Poland,Azerbaijan,"G / AR",3
2016,Romania,Azerbaijan,"G / FI",
2016,"Russian Federation",Azerbaijan,"G / TA",15
2016,"Russian Federation",Azerbaijan,"G / FI",11
2016,Sweden,Azerbaijan,"G / RA",61
2016,Sweden,Azerbaijan,"G / FI",167
2016,Sweden,Azerbaijan,"G / AR",263
2016,Ukraine,Azerbaijan,"U / FI",
2016,Ukraine,Azerbaijan,"G / JR",6
2016,Ukraine,Azerbaijan,"G / FI",4
2016,Uruguay,Azerbaijan,"G / FI",
2016,"United States of America",Azerbaijan,"G / IN",234
2016,"United States of America",Azerbaijan,"G / EO",19
2016,Zambia,Burundi,"G / FI",843
2016,Zimbabwe,Burundi,"G / FI",65
2016,Angola,Burundi,"G / FI",
2016,"United Arab Emirates",Burundi,"U / NA",1
2016,Argentina,Burundi,"G / FI",
2016,Australia,Burundi,"G / AR",2
2016,Australia,Burundi,"G / FI",18
2016,Austria,Burundi,"G / FA",1
2016,Belgium,Burundi,"G / RA",36
2016,Belgium,Burundi,"G / JR",26
2016,Belgium,Burundi,"G / FI",271
2016,Benin,Burundi,"G / FI",1
2016,"Burkina Faso",Burundi,"J / FI",3
2016,Brazil,Burundi,"G / FI",1
2016,Botswana,Burundi,"G / FI",54
2016,"Central African Rep.",Burundi,"G / FI",4
